Proposition#;socio weight (-1 = liberal, 0 = neutral, 1 = authoritarian);economic weight (-1 = left, 0 = neutral, 1 = right);;English;German;Italian;Czech;Spanish;French;Polish
1;-1;-1;;If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations;Wenn îkonomische Globalisierung unausweichlich ist, sollte sie primÑr der Menschheit dienen anstatt den Interessen transnationaler Unternehmen. ;Se la globalizzazione economica ä inevitabile, dovrebbe servire principalmente l?umanitÖ piuttosto che gli interessi di corporazioni transnazionali. ;Je-li ekonomick† globalizace nevyhnuteln†, m?la by p?edev?°m slou?it lidstvu, ne z†jm?m mezin†rodn°ch korporac°. ;Si el fen¢meno de la globalizaci¢n econ¢mica es inevitable, Çsta deber°a, principalmente, servir a la humanidad antes que a los intereses de las multinacionales.;Si la mondialisation est inÇvitable, elle devrait avant tout servir l?humanitÇ plutìt que les intÇràts de multinationales. ;Je?li globalizacja ekonomiczna jest nieunikniona, powinna ona przede wszystkim s?u?y? ludzko?ci, a nie mi?dzynarodowym korporacjom. 
2;1;0;;I would always support my country, whether it was right or wrong;Ich wÅrde immer mein Land unterstÅtzen, egal ob es richtig oder falsch handelt. ;Sosterrei sempre la mia nazione, che abbia ragione o torto. ;Svoji zemi bych podporoval za v?ech okolnost°, a? u? je to spr†vnÇ nebo ?patnÇ. ;Siempre apoyar°a a mi pa°s, tanto si se equivocase como si no. ;Je soutiendrai toujours mon pays, qu?il ait raison ou tort.;Zawsze popiera?bym m¢j kraj, bez wzgl?du na to czy ma racj? czy nie. 
3;-1;0;;No one chooses their country of birth, so it?s foolish to be proud of it;Niemand sucht sich sein Geburtsland aus, daher ist es albern, darauf stolz zu sein. ;Non si puï scegliere la nazione in cui si nasce quindi ä sciocco esserne fieri. ;Nikdo si nevyb°r† zemi, v kterÇ se narodil, tak?e je hloupÇ bÏt na ni hrdÏ. ;Nadie elige su pa°s natal, por ello es tonto estar orgulloso de Çl. ;Personne ne choisit son pays de naissance, il est donc stupide d?en àtre fier. ;Nikt nie wybiera sobie kraju urodzenia, wi?c to g?upie by? z niego dumnym. 
4;1;0;;Our race has many superior qualities, compared with other races;Im Vergleich zu anderen Rassen hat unsere Rasse viele Åberlegene Eigenschaften. ;La nostra razza ha molte qualitÖ superiori rispetto alle altre razze. ;Na?e rasa je v mnohÇm lep?° ne? ostatn° rasy. ;Nuestra raza, comparada con otras, tiene m†s cualidades superiores. ;Ma race a de nombreuses qualitÇs que les autres races n?ont pas. ;Nasza rasa, w por¢wnaniu z innymi, ma wiele cech ?wiadcz?cych o jej wy?szo?ci. 
5;0;0;;The enemy of my enemy is my friend;Der Feind meines Feindes ist mein Freund. ;Il nemico del mio nemico ä mio amico. ;Nep?°tel mÇho nep?°tele je m?j p?°tel. ;El enemigo de mi enemigo es mi amigo.;L?ennemi de mon ennemi est mon ami. ;Wr¢g mojego wroga jest moim przyjacielem. 
6;1;0;;Military action that defies international law is sometimes justified;MilitÑreinsÑtze, die gegen internationales Recht versto·en, sind manchmal gerechtfertigt. ;Le azioni militari che non rispettano leggi internazionali sono a volte giustificate. ;Vojensk† akce, kter† poru?uje mezin†rodn° pr†vo, je n?kdy opr†vn?n†. ;A veces, est† justificada una acci¢n militar que desaf°e las leyes internacionales. ;Des interventions militaires allant Ö l?encontre du droit international sont parfois justifiÇes. ;Dzia?ania zbrojne, kt¢re ?ami? mi?dzynarodowe prawo, s? czasami zrozumia?e. 
7;0;0;;There is now a worrying fusion of information and entertainment;Es gibt im Moment eine bedenkliche Verbindung der Informations- und Unterhaltungsindustrie. ;Al momento c?ä una preoccupante fusione tra informazione e intrattenimento. ;V dne?n° dob? jsme sv?dky znepokujuj°c°ho m°ch†n° informac° a z†bavy. ;Actualmente, es preocupante la mezcla existente entre informaci¢n y entretenci¢n en los medios de comunicaci¢n. ;Il y a actuellement un mÇlange inquiÇtant entre l?information et le divertissement. ;Obserwujemy obecnie niepokoj?ce po??czenie informacji z rozrywk?. 
8;-1;-1;;People are ultimately divided more by class than by nationality;Menschen sind letztendlich eher wegen ihrer Klasse gespalten als wegen ihrer NationalitÑt. ;Le persone sono, in definitiva, pió divise dalla propria classe piuttosto che dalla propria nazionalitÖ. ;V samÇ podstat? lidÇ jsou rozd?leni v°ce podle spole?enskÏch t?°d ne? podle n†rodnost°. ;Èltimamente, la gente se divide m†s en clases que en nacionalidades. ;Les gens sont en dÇfinitive plus divisÇs par classe sociale que par nationalitÇ. ;Przynale?no?? klasowa dzieli ludzi bardziej ni? przynale?no?? narodowa. 
9;0;1;;Controlling inflation is more important than controlling unemployment;Die Inflation zu steuern ist wichtiger als die Arbeitslosigkeit zu steuern. ;Il controllo dell?inflazione ä pió importante del controllo della disoccupazione. ;?°zen° inflace je d?le?it?j?° ne? ?°zen° nezam?stnanosti. ;Controlar la inflaci¢n es m†s importante que controlar el desempleo. ;Contrìler l?inflation est plus important que contrìler le chìmage. ;Kontrola inflacji jest wa?niejsza od kontroli bezrobocia. 
10;0;-1;;Because corporations cannot be trusted to voluntarily protect the environment, they require regulation;Weil man nicht darauf vertrauen kann, dass Unternehmen freiwillig die Umwelt schÅtzen, muss man sie schÑrfer regulieren. ;Dato che non ci si puï fidare che proteggano di spontanea volontÖ l?ambiente, le corporazioni necessitano di regolamentazione. ;Proto?e nem??eme korporac°m v??it, ?e budou dobrivoln? chr†nit ?ivotn° prost?ed°, je pot?eba je regulovat. ;Dado que no se puede confiar en que las grandes empresas protejan voluntariamente el medio ambiente, hay que regularlas. ;Parce qu?on ne peut pas faire confiance aux grandes entreprises pour protÇger l?environnement volontairement, il faut leur imposer des rägles. ;Poniewa? nie mo?na ufa?, ?e korporacje troszcz? si? o ?rodowisko naturalne, ich dzia?ania powinny by? kontrolowane. 
11;-1;-1;;From each according to his ability, to each according to his need is a fundamentally good idea;"""Jeder nach seinen FÑhigkeiten, jedem nach seinen BedÅrfnissen"" ist grundsÑtzlich eine gute Idee. ";?Da ognuno secondo le proprie capacitÖ, a ognuno secondo i propri bisogni? ä fondamentalmente una buona idea. ;?Ka?dÏ podle svÏch schopnost°, ka?dÇmu podle jeho pot?eb?ˇ je v podstat? dobr† my?lenka. ;"""De cada cual seg£n su capacidad, a cada cual seg£n su necesidad"" es una buena idea fundamental. ";ÆDe chacun selon ses moyens, Ö chacun selon ses besoinsØ est fonciärement une bonne idÇe. ;"""Ka?demu wed?ug jego potrzeb, od ka?dego wed?ug jego zdolno?ci? to w zasadzie dobry pomys?. "
12;-1;1;;The freer the market, the freer the people;Je freier der Markt, desto freier die Menschen. ;Pió libero il mercato, pió libere le persone. ;?°m je trh voln?j?°, t°m jsou lidÇ svobodn?j?°. ;Cuanto m†s libre es el mercado, m†s libre es la gente. ;Plus le marchÇ Çconomique est libre, plus les personnes sont libres. ;Im bardziej wolny rynek, tym bardziej wolni ludzie. 
13;0;-1;;it is a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product;Es ist ein Armutszeugnis fÅr unsere Gesellschaft, dass etwas grundlegendes wie Trinkwasser nun ein in Flaschen abgefÅlltes Produkt ist. ;Ormai ä una triste realtÖ della nostra societÖ il fatto che una cosa basilare come l?acqua potabile sia un prodotto di consumo imbottigliato ed etichettato. ;Je smutnÏm odrazem na?° spole?nosti, ?e n?co tak z†kladn°ho jako pitn† voda je dnes baleno v lahv°ch a ozna?ov†no za zna?kovÏ spot?ebn° vÏrobek. ;Es una triste reflexi¢n pensar que en nuestra sociedad algo tan b†sico como beber agua sea ahora un producto de consumo embotellado y de marca. ;C'est un triste reflet de notre sociÇtÇ que quelque chose d'aussi fondamental que l'eau potable soit dÇsormais un produit de consommation, embouteillÇ sous l?Çtiquette d?une marque. ;Smutnym faktem jest, ?e w naszym spo?ecze?stwie co? tak zwyczajnego jak woda pitna jest butelkowanym, komercyjnym produktem. 
14;0;-1;;Land shouldn?t be a commodity to be bought and sold;Land sollte keine Ware sein, die man kaufen und verkaufen kann.;La terra non dovrebbe essere un merce da comprare e vendere. ;P?da by nem?la bÏt komoditou k prodeji a n†kupu. ;La tierra no deber°a ser un bien transable para ser vendido y comprado. ;Un terrain ne devrait pas àtre un bien qui s?achäte et se vend. ;Ziemia nie powinna by? obiektem do kupna czy sprzeda?y. 
15;0;-1;;It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society;Es ist bedauerlich, dass Menschen persînliche ReichtÅmer anhÑufen kînnen, indem sie einfach Geld manipulieren und nichts zu ihrer Gesellschaft beitragen. ;‘ spiacevole che molti patrimoni personali siano accumulati da individui che semplicemente manipolano soldi e non contribuiscono alla societÖ. ;Je politov†n°hodnÇ, ?e mnoho osobn°ho bohatsv° je vyd?l†no lidmi, kte?° jednodu?e manipuluj° pen?zmi a nijak nep?isp°vaj° spole?nosti. ;Es lamentable que muchas fortunas personales estÇn hechas por gente que simplemente especula con dinero y no contribuye en nada a la sociedad. ;Il est regrettable que de nombreuses fortunes personnelles soient faites par des gens qui manipulent de l?argent sans contribuer en rien Ö la sociÇtÇ. ;To godne ubolewania, ?e wiele fortun zosta?o zrobionych przez ludzi, kt¢rzy jedynie manipuluj? pieni?dzem nic nie wnosz?c do swojego spo?ecze?stwa. 
16;0;0;;Protectionism is sometimes necessary in trade;Protektionismus ist fÅr den Handel manchmal notwendig. ;Il protezionismo ä a volte necessario in commercio. ;Protekcionismus je v obchodu n?kdy nezbytnÏ. ;El proteccionismo es a veces necesario en el comercio. ;Le protectionnisme est parfois nÇcessaire dans le commerce. ;Protekcjonizm jest czasami konieczny w handlu. 
17;0;1;;The only social responsibility of a company should be to deliver a profit to it's shareholders;Die einzige soziale Verantwortung eines Unternehmens ist es, seinen Anteilseignern Gewinn einzubringen. ;L?unica responsabilitÖ sociale di un?azienda dovrebbe essere di creare un profitto per i propri azionisti. ;Jedinou spole?enskou odpov?dnost° firmy by m?lo bÏt poskytnut° zisku svÏm akcion†??m. ;La £nica responsabilidad social de una compa§°a deber°a ser proporcionar utilidades a sus accionistas. ;La seule responsabilitÇ sociale d?une entreprise devrait àtre de distribuer ses profits Ö ses actionnaires. ;Jedyn? odpowiedzialno?ci? socjaln? firm powinno by? generowanie zysk¢w dla swych akcjonariuszy. 
18;0;1;;The rich are too highly taxed;Reiche Menschen werden zu hoch besteuert. ;I ricchi pagano tasse troppo alte. ;Bohat° jsou p?°li? zdan?ni. ;Los ricos pagan impuestos demasiado elevados. ;Les riches payent trop d?impìts. ;Bogaci s? zbyt wysoko opdatkowni. 
19;0;1;;Those with the ability to pay should have access to higher standards of medical care;Diejenigen, die es sich leisten kînnen, haben das Recht, bessere medizinische Versorgung zu erhalten. ;Quelli che possono permetterselo dovrebbero avere accesso a standard pió alti di cure mediche. ;Osoby se schopnost° platit by m?ly m°t p?°stup k lep?° lÇka?skÇ pÇ?i. ;Aquellas personas que puedan pag†rselo deber°an tener derecho a mejores est†ndares de cuidado mÇdico. ;Ceux qui en ont les moyens devraient avoir accäs Ö de meilleurs services mÇdicaux. ;Ci, kt¢rzy s? w stanie p?aci? za opiek? medyczn?, powinni mie? do niej szerszy dost?p. 
20;0;-1;;Governments should penalise businesses that mislead the public;Regierungen sollten Unternehmen bestrafen, die die ôffentlichkeit tÑuschen. ;I governi dovrebbero penalizzare le aziende che ingannano il pubblico. ;Vl†dy by m?ly penalizovat spole?nosti, kterÇ klamou ve?ejnost. ;Los gobiernos deber°an penalizar aquellos negocios que enga§an al p£blico. ;Les gouvernements devraient pÇnaliser les entreprises qui induisent le public en erreur. ;W?adze powinny kara? przedsi?biorstwa, kt¢re ok?amuj? konsument¢w. 
21;0;-1;;A genuine free market requires restrictions on the ability of predator multinationals to create monopolies;Ein echt freier Markt benîtigt BeschrÑnkungen, die verhindern, dass multinationale Unternehmen Monopole schaffen. ;Un mercato veramente libero richiede restrizioni in modo da evitare che le multinazionali creino monopoli. ;OpravdovÏ volnÏ trh vy?aduje omezen° schopnosti nadn†rodn°ch spole?nost° vytv†?et monopoly. ;Un Mercado realmente libre requiere restricciones a la capacidad de multinacionales depredadoras de crear monopolios. ;Un vÇritable Libre MarchÇ exige des restrictions sur la capacitÇ des multinationales prÇdatrices Ö crÇer des monopoles. ;Prawdziwy wolny rynek powinien zadba? o restrykcje wobec przedsi?biorstw tworz?cych monopole. 
22;1;0;;Abortion, when the woman's life is not threatened, should always be illegal;Abtreibung sollte immer illegal sein, wenn das Leben der Mutter nicht gefÑhrdet ist. ;L?aborto, quando la vita della donna non ä a rischio, dovrebbe essere sempre illegale. ;Potrat, v p?°pad?, ?e je ?ena mimo ohro?en° ?ivota, by m?l bÏt nez†konnÏ. ;El aborto, cuando no estÇ amenazada la vida de la madre, siempre deber°a ser ilegal. ;L?avortement devrait toujours àtre illÇgal si la vie de la märe n?est pas menacÇe. ;Aborcja, kiedy ?ycie matki nie jest zagro?one, powinna by? zawsze zabroniona. 
23;-1;0;;All authority should be questioned;Jede AutoritÑt sollte hinterfragt werden. ;Tutti i tipi di autoritÖ dovrebbero essere messi in discussione. ;V?echny autority by m?ly bÏt zpochyb?ov†ny. ;Toda autoridad deber°a ser cuestionada. ;Toute autoritÇ devrait àtre mise en question. ;Ka?dy autorytet powinien by? kwestionowany. 
24;1;0;;An eye for an eye and a tooth for a tooth;Auge um Auge, Zahn um Zahn. ;Occhio per occhio, dente per dente.;Oko za oko, zub za zub. ;Ojo por ojo y diente por diente. ;?il pour ?il, dent pour dent. ;Oko za oko, z?b za z?b. 
25;0;1;;Taxpayers should not be expected to prop up any theatres or museums that cannot survive on a commercial basis;Steuerzahler sollten keine Theater oder Museen finanzieren mÅssen, die sich wirtschaftlich nicht selbst tragen kînnen. ;I contribuenti non dovrebbero essere costretti a sostenere teatri o musei che non possano sopravvivere su base commerciale. ;Od da?ovÏch poplatn°k? by se nem?lo o?ek†vat, ?e budou podporovat divadla nebo muzea, kterÇ nedok†?° p?e?°t na komer?n°m z†klad?. ;Los contribuyentes no deber°an financiar aquellos teatros o museos que no fuesen rentables por s° mismos. ;On ne devrait pas attendre des contribuables qu'ils financent des thÇÉtres ou des musÇes qui ne sont pas autosuffisants Çconomiquement. ;Pieni?dze podatnik¢w nie powinny by? przeznaczane na dotowanie teatr¢w i muze¢w, kt¢re nie s? w stanie utrzyma? si? na zasadach komercyjnych. 
26;-1;0;;Schools should not make classroom attendance compulsory;Schulen sollten keine Anwesenheitspflicht haben. ;Le scuole non dovrebbero rendere la frequenza obbligatoria. ;?koly by n?m?ly vy?adovat povinnou ?koln° doch†zku. ;Las escuelas no deber°an exigir que la asistencia a clases sea obligatoria. ;Les Çcoles ne devraient pas rendre la prÇsence en classe obligatoire. ;Szko?y nie powinny wymaga? obowi?zkowej obecno?ci na lekcjach.
27;1;0;;All people have their rights, but it is better for all of us that different sorts of people should keep to their own kind;"Alle Menschen haben ihre Rechte; aber es ist besser fÅr uns alle, wenn verschiedene Arten von Menschen unter sich bleiben. ";Tutte le persone hanno i propri diritti ma ä meglio per tutti se diversi tipi di persone rimangano con i propri simili. ;V?ichni lidÇ maj° sv† pr†va, ale je pro n†s v?echny lep?°, kdy? si ka?d† skupina lid° uchov†v† sv?j vlastn° druh pr†va. ;Todo el mundo tiene sus derechos, pero es mejor para todos que cada cual se junte con los de su clase. ;Toute personne a ses droits, mais il est prÇfÇrable pour nous tous que les diffÇrents types de gens s'en tiennent Ö leurs semblables. ;Wszyscy maj? swoje prawa, ale by?oby lepiej, gdyby r¢?ne grupy spo?eczne trzyma?y si? w?asnego rodzaju. 
28;1;0;;Good parents sometimes have to spank their children;Gute Eltern mÅssen ihre Kinder manchmal schlagen. ;Un buon genitore alcune volte deve sculacciare i propri figli. ;Dob?° rodi?e by ob?as m?li svÏm d?tem napl†cat. ;Para ser un buen padre, a veces hay que dar nalgadas a los hijos.;Les bons parents doivent parfois donner la fessÇe Ö leurs enfants. ;Nawet dobrzy rodzice powinni czasem da? klapsa dziecku. 
29;0;0;;It's natural for children to keep some secrets from their parents;Es ist natÅrlich, wenn Kinder ein paar Geheimnisse vor ihren Eltern haben. ;‘ naturale per alcuni bambini mantenere dei segreti ai propri genitori. ;Je p?irozenÇ, ?e d?ti maj° p?ed svÏmi rodi?i n?jak† tajemstv°. ;Es normal que los hijos se guarden algunos secretos. ;Il est naturel pour des enfants de cacher des choses Ö leurs parents. ;To naturalne, ?e dzieci maj? przed rodzicami tajemnice. 
30;-1;0;;Possessing marijuana for personal use should not be a criminal offence;Der Besitz von Marihuana fÅr den persînlichen Gebrauch sollte keine Straftat sein. ;Possedere marijuana per uso personale non dovrebbe essere un crimine. ;Dr?en° marihuany pro osobn° pot?ebu by nem?lo bÏt trestnÏm ?inem. ;La Marihuana deber°a legalizarse. ;DÇtenir du cannabis pour son usage personnel ne devrait pas àtre une infraction. ;Posiadanie marihuany dla w?asnego u?ytku nie powinno by? karalne. 
31;0;1;;The prime function of schooling should be to equip the future generation to find jobs;Die primÑre Funktion der Schule sollte es sein, die zukÅnftige Generation mit FÑhigkeiten zur Jobfindung auszustatten. ;La prima funzione delle scuole dovrebbe essere quella di preparare le future generazioni per trovare lavoro. ;Hlavn°m £kolem ?kolstv° by m?lo bÏt vybavit budouc° generaci k hled†n° pracovn°ch m°st. ;La principal funci¢n de la escolarizaci¢n deber°a ser preparar a las generaciones futuras para encontrar trabajo. ;La fonction premiäre de l'Çcole devrait àtre de donner Ö la gÇnÇration future les moyens de trouver un emploi. ;G?¢wn? funkcj? nauczania powinno by? przygotowywanie przysz?ych pokole? do znalezienia pracy. 
